moca_aid,nmem
RHEA159,4
RHEA72,4
RHEA25,4
RHEA398,4
CRIUS201,4
CRIUS47,4
RHEA124,4
RHEA71,4
CRIUS46,4
RHEA263,4
CRIUS143,4
CRIUS26,4
RHEA367,4
SPL3,4
CRIUS97,4
RHEA203,4
THEIA370,3
CRIUS28,3
CRIUS179,3
RHEA360,3
RHEA11,3
ETACEPH,3
CRIUS24,3
RHEA324,3
RHEA239,3
RHEA187,3
RHEA283,3
CRIUS113,3
RHEA59,3
RHEA215,3
RHEA18,3
RHEA35,3
RHEA186,3
RHEA326,3
RHEA31,3
CRIUS80,2
RHEA151,2
RHEA188,2
SCBER,2
POB3,2
CRIUS158,2
RHEA206,2
THEIA55,2
CRIUS48,2
RHEA137,2
THEIA45,2
RHEA197,2
HSC1542,2
RHEA61,2
CRIUS75,2
CRIUS114,2
RHEA264,2
CRIUS139,2
HSC242,2
CRIUS82,2
RHEA234,2
PISMG,2
RHEA127,2
RHEA189,2
RHEA155,2
AUSC5,2
CRIUS185,2
RATZSCO24,2
RHEA48,2
RHEA156,2
HSC2976,2
RHEA238,2
RHEA64,1
RHEA422,1
RATZSCO22,1
HSC2882,1
THEIA431,1
RHEA392,1
RHEA354,1
RHEA85,1
RHEA139,1
HYAMG,1
CRIUS69,1
RHEA125,1
HSC1630,1
CRIUS229,1
RHEA160,1
CRIUS128,1
HSC2394,1
IC4756,1
RHEA386,1
HSC2763,1
MUTAU,1
THEIA786,1
RHEA205,1
CRIUS181,1
CRIUS7,1
CRIUS119,1
RHEA328,1
CRIUS121,1
RHEA131,1
CPRA,1
THEIA793,1
CRIUS78,1
RHEA408,1
RHEA152,1
RATZSCO9,1
HSC2515,1
CRIUS152,1
RHEA316,1
RHEA379,1
CRIUS191,1
CRIUS146,1
CRIUS14,1
RATZSCO8,1
CRIUS84,1
RHEA220,1
RHEA297,1
HSC2846,1
CRIUS159,1
RHEA98,1
RHEA254,1
THEIA300,1
NGC2451B,1
CRIUS194,1
CRIUS172,1
RHEA113,1
RHEA135,1
RHEA228,1
RATZSCO14,1
HSC2523,1
